Issue Id,Parent Id,Issue Type,Summary,Description,Priority,Status,Labels,Component,Epic Name,Epic Link
EPIC-001,,Epic,Foundation Platform and Security,"Core backend platform, security model, environments, and database baseline from PRD architecture.",Highest,Done,"backend,phase-1,completed",platform,Foundation Platform and Security,
STORY-001,,Story,Create backend service skeleton and dependency stack,"Set up Spring Boot backend with required core dependencies, build tooling, and standard project structure.",Highest,Done,"backend,completed",platform,,Foundation Platform and Security
SUB-001,STORY-001,Sub-task,Define project structure conventions,"Set naming conventions and module/package baseline for maintainable growth.",High,Done,"backend,completed",platform,,
SUB-002,STORY-001,Sub-task,Configure build plugins and annotation processing,"Enable required compiler settings, mapstruct/lombok processing, and packaging defaults.",High,Done,"backend,completed",platform,,
STORY-002,,Story,Set up environments and deployment basics,"Create local and production-ready config patterns, docker assets, and startup documentation.",High,Done,"devops,completed",platform,,Foundation Platform and Security
SUB-003,STORY-002,Sub-task,Create docker-compose stack for local dependencies,"Provide local Postgres and Redis stack for development.",Medium,Done,"devops,completed",platform,,
SUB-004,STORY-002,Sub-task,Document local setup and run workflow,"Provide practical setup docs for team onboarding.",Medium,Done,"devops,completed",platform,,
STORY-003,,Story,Implement authentication and role-based access control,"Deliver JWT auth, roles, and endpoint protection for Admin, Salesperson, Warehouse, and View-only users.",Highest,Done,"security,completed",security,,Foundation Platform and Security
SUB-005,STORY-003,Sub-task,Implement JWT issue and refresh flow,"Create secure access/refresh token lifecycle.",Highest,Done,"security,completed",security,,
SUB-006,STORY-003,Sub-task,Implement role guards on protected routes,"Apply role-based authorization at API layer.",High,Done,"security,completed",security,,
STORY-004,,Story,Establish shared API patterns and exception handling,"Standardize API response envelopes, paging responses, and global error handling.",High,Done,"backend,completed",platform,,Foundation Platform and Security
SUB-007,STORY-004,Sub-task,Create standard response and pagination contracts,"Ensure consistent response shape across endpoints.",Medium,Done,"backend,completed",platform,,
SUB-008,STORY-004,Sub-task,Implement global exception mapping,"Centralize business and system error responses.",Medium,Done,"backend,completed",platform,,
STORY-005,,Story,Deliver user management and admin bootstrap,"Implement user CRUD, profile endpoint, and initial admin bootstrap flow.",High,Done,"user-management,completed",user,,Foundation Platform and Security
STORY-006,,Story,Finalize initial database schema migrations,"Ship core relational schema migrations covering users, inventory, messaging, orders, and POS sessions.",Highest,Done,"database,completed",database,,Foundation Platform and Security
EPIC-002,,Epic,Inventory and Stock Operations,"Inventory catalog, suppliers, stock control, and stock auditability.",Highest,In Progress,"inventory,phase-1-2",inventory,Inventory and Stock Operations,
STORY-007,,Story,Implement supplier management,"Deliver supplier CRUD and searchable supplier listing for procurement workflows.",Medium,Done,"inventory,completed",inventory,,Inventory and Stock Operations
STORY-008,,Story,Implement parts catalog management,"Deliver parts CRUD, search/filter, and low-stock visibility endpoints.",Highest,Done,"inventory,completed",inventory,,Inventory and Stock Operations
SUB-009,STORY-008,Sub-task,Implement parts search and filters,"Provide searchable catalog retrieval for dashboard and bot usage.",Medium,Done,"inventory,completed",inventory,,
SUB-010,STORY-008,Sub-task,Implement low-stock endpoint,"Expose low-stock records for dashboards and alerts.",Medium,Done,"inventory,completed",inventory,,
STORY-009,,Story,Add bulk import for parts catalog,"Support CSV import with validation and update/create behavior for onboarding inventory.",Medium,Done,"inventory,completed",inventory,,Inventory and Stock Operations
STORY-010,,Story,Implement stock movement logging and atomic stock updates,"Record receives, sales, write-offs, and adjustments with audit data and safe stock mutation.",Highest,Done,"inventory,completed",inventory,,Inventory and Stock Operations
SUB-011,STORY-010,Sub-task,Apply concurrency-safe stock mutation,"Use locking/transaction boundaries to prevent stock race conditions.",High,Done,"inventory,completed",inventory,,
SUB-012,STORY-010,Sub-task,Capture actor and movement reference data,"Keep traceability for every stock change.",Medium,Done,"inventory,completed",inventory,,
STORY-011,,Story,Implement low-stock notification workflow,"Generate staff-facing low-stock alerts and configurable threshold rules.",Medium,In Progress,"inventory,alerts",inventory,,Inventory and Stock Operations
STORY-012,,Story,Implement supplier reorder workflow,"Track reorder candidates, reorder status, and supplier lead-time based restock planning.",Medium,To Do,"inventory,reorder",inventory,,Inventory and Stock Operations
